"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Pdcd11"	2561.70574524717	-1.00124792751123	0.174956330906723	-5.72284479402485	1.04754957434877e-08	5.86979509656078e-08
"Nudt15"	167.917891691055	-1.00227816307417	0.208370958081979	-4.81006649055117	1.50880097383983e-06	6.26678548118072e-06
"Mapkapk3"	6838.60228679841	-1.00228337820013	0.0775612153125159	-12.9224816058084	3.36122989455461e-38	1.65682778186969e-36
"Actl6a"	1387.61660004204	-1.00257195796092	0.173174695762968	-5.78936751436934	7.06519584217969e-09	4.03653485705131e-08
"Dtl"	1307.3360843448	-1.00283012140111	0.337242653716998	-2.97361591230583	0.00294313222345623	0.00692959703406362
"Ctdp1"	664.90689075459	-1.00289560066762	0.166771983273964	-6.01357362897173	1.81477445869731e-09	1.11389604706249e-08
"Mkl1"	2382.35674362763	-1.00329462177409	0.156367772720695	-6.41624936083329	1.39672600304945e-10	9.94027124338168e-10
"Zdhhc3"	2203.51464752399	-1.00337821706795	0.114595746714959	-8.75580678891787	2.02648610763758e-18	3.01712894464257e-17
"Aatf"	837.01727104574	-1.00421219403101	0.131892312702845	-7.61387963750023	2.65988513241447e-14	2.77598435317784e-13
"Nqo2"	881.049524195221	-1.0042204322426	0.132017445442106	-7.60672522392496	2.81128118082043e-14	2.93017075580633e-13
"Rhobtb1"	201.523463822837	-1.00431527699309	0.228940347882965	-4.3867989468877	1.15031026957035e-05	4.1663962284687e-05
"Hnrnpu"	19390.6750677182	-1.00468798941392	0.108574162685017	-9.25347213893429	2.17316051470382e-20	3.75555894774058e-19
"Sptbn1"	7615.29753230283	-1.0053900922156	0.20856860643491	-4.82042868004379	1.4325006359762e-06	5.97621359071321e-06
"Zfp109"	61.5174663495194	-1.00560505069179	0.276625026222295	-3.63526418569116	0.000277695910781747	0.000792568767276604
"Hsf1"	990.345514414621	-1.00606620546902	0.0801080944557937	-12.5588582814711	3.55424408224625e-36	1.59492969741134e-34
"Nsun5"	394.112119031268	-1.00622411274015	0.138176383723941	-7.2821714219302	3.28489289375451e-13	3.11753460651347e-12
"Ccbl2"	192.994662932724	-1.00637166624498	0.371603064827176	-2.70818989803817	0.00676513010288154	0.0147280934207861
"Chaf1a"	1768.80300163195	-1.00653211402242	0.406551192117268	-2.47578197663258	0.0132944734585218	0.0269591727601922
"Dnase1"	81.4108076800047	-1.0067287209061	0.219060604539405	-4.59566302678127	4.31375361322894e-06	1.66641747971853e-05
"2310003H01Rik"	396.464101976318	-1.00828612680795	0.130112075159612	-7.74936627189337	9.23522796987802e-15	1.00236010892579e-13
"Tlk1"	1211.04901035141	-1.00868468890118	0.0799103654438546	-12.6227014893316	1.58296240141596e-36	7.22480275518054e-35
"Rcc2"	13440.2808838982	-1.00873400786934	0.0771718275229807	-13.0712727720352	4.80547016132713e-39	2.50761016236028e-37
"Mid1ip1"	1938.84036004596	-1.00885707874401	0.0769924755052111	-13.1033204494864	3.15161952522254e-39	1.66630180838499e-37
"Fam13b"	1005.31444700269	-1.00904298767201	0.16364205542061	-6.16615933525439	6.99685829146512e-10	4.55649064346631e-09
"Itfg1"	2252.9614727575	-1.00912307780164	0.141062464205452	-7.15373209652634	8.44498064773707e-13	7.68248665398909e-12
"Eif5"	8062.77226066547	-1.0094726670337	0.0413464648083919	-24.4149692534006	1.18604821173313e-131	9.04785350093561e-129
"Vac14"	1259.39339913694	-1.00952725841856	0.194961100882063	-5.17809580398936	2.2416211621579e-07	1.04787776532739e-06
"Rbm10"	913.344911399045	-1.00959959128555	0.205612034548401	-4.91021643505936	9.09759245582032e-07	3.90314491543228e-06
"Mast1"	354.27454383274	-1.01129616872831	0.191281274659513	-5.28695854065408	1.24366812549475e-07	6.00831223474848e-07
"Pet112"	299.858468678804	-1.01181390181298	0.182691286046446	-5.53838074989383	3.05281003853614e-08	1.60927992159753e-07
"Cetn3"	1167.09013907799	-1.0130320368182	0.186112025747239	-5.44313046269248	5.23522749837203e-08	2.6709663861121e-07
"Tapbpl"	550.854640542569	-1.01474765420472	0.12794229731143	-7.93129149255994	2.16878490539983e-15	2.50677735818941e-14
