"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ms4a1"	75.7482878661343	11.2811775239148	1.57343665646661	7.16976910227095	7.51243621816046e-13	2.05100164693679e-11
"C1qb"	223.138428374697	11.259136508225	1.26787997442332	8.88028578047868	6.66888062461623e-19	3.72055883542901e-17
"Pou2af1"	114.377312940041	11.2483509346841	1.73722091617698	6.47491106625509	9.4867800848378e-11	1.92659224562168e-09
"Smoc2"	59.9800963461454	11.1898374916438	1.70552764587953	6.56092413317242	5.34753244933497e-11	1.12181613971199e-09
"Marcks"	147.614108350095	11.1355614196692	1.41654587510308	7.86106656719388	3.80876297836911e-15	1.38646175746873e-13
"Igj"	642.608706808248	11.0539441552549	0.84231218584296	13.1233340096967	2.42047341478169e-39	5.73391532935514e-37
"Tspan33"	126.772630069639	11.0113989749282	1.5755600107724	6.9888794458105	2.77090382435171e-12	7.04065628504417e-11
"Clca1"	54.3536533415442	11.0057024579848	1.39468674118142	7.89116446942197	2.99379792648822e-15	1.10547962762747e-13
"Ank1"	205.803960918027	10.9964649739877	1.35567836677124	8.11141141108378	5.00351331213162e-16	2.03820365026991e-14
"Ace"	65.9481470377719	10.9948724484512	1.4110281180311	7.79210017713404	6.59044474781158e-15	2.28557811321628e-13
"Spta1"	182.454481986628	10.9260907288501	1.49423508014428	7.31216317568656	2.62875601475683e-13	7.66620930212607e-12
"Mafb"	76.8312853722623	10.905910589742	1.25530312463727	8.68787018505453	3.69297434291687e-18	1.88918335323036e-16
"Samd14"	55.7219596766772	10.8150928347622	1.57606955054096	6.86206571978377	6.78718233892734e-12	1.6202950954233e-10
"Ermap"	167.05405407267	10.7666935344216	1.41080504708533	7.63159556075107	2.31865872162756e-14	7.54814101387338e-13
"Gypa"	252.788513916576	10.7447398420953	1.81539712020511	5.91867185559999	3.24551763647077e-09	5.09423858984473e-08
"Ypel4"	42.5415342866916	10.7355059749203	1.5223204908895	7.05206691965863	1.76279381532171e-12	4.60840393350148e-11
"Faim3"	68.0520438212842	10.7050045546507	3.70396141944081	2.89015012371993	0.0038505789341891	0.0147563998080248
"Gimap3"	96.9105580796442	10.6558245539432	1.66449968741181	6.40181829683148	1.5353732748565e-10	2.99641035313567e-09
"Clec4a3"	32.4616633362753	10.6236164755227	1.27683035830171	8.32030379482285	8.77381383853408e-17	3.78429090996492e-15
"Car1"	79.6295536336493	10.614509683005	1.62118462164518	6.54737871386504	5.85557408027469e-11	1.22008294571136e-09
"Cldn5"	34.8528507010611	10.6048644541539	2.29632444807844	4.61819080619377	3.87100232413153e-06	3.25573447795356e-05
"S1pr5"	43.8672529548325	10.5954177058579	1.37849086060836	7.68624443486111	1.51516899545505e-14	5.06086164685833e-13
"Cald1"	43.8783149031232	10.5763103244057	1.31159830037698	8.06368102289087	7.40307717529562e-16	2.93795315322686e-14
"Tspo2"	44.9694248761367	10.566653648524	1.80663793905201	5.84879428252716	4.95149004818936e-09	7.43834573287997e-08
"Trim10"	210.945293168118	10.5515182778029	3.78400994872285	2.78844887322883	0.00529611061692266	0.0192742877048866
"Cd19"	110.643980753464	10.5405077919759	1.66642002609928	6.32524071176038	2.52838129395162e-10	4.78868575206237e-09
"Cxcl12"	78.0981376407711	10.532893494671	1.85123442580969	5.6896594768456	1.27292958710449e-08	1.75789863517802e-07
"Cd163"	64.2481894789352	10.4870401975102	1.32504960889802	7.91445099646627	2.48346512840098e-15	9.23681063940054e-14
"Cldn13"	69.1324810345413	10.4863529703374	1.68722844590346	6.21513523897607	5.12804642850872e-10	9.18158824490433e-09
"Col3a1"	87.5922490266995	10.4571219710972	3.21194109596667	3.25570166408983	0.00113112536684686	0.00521937920248964
"Eln"	29.172651430279	10.4349560679336	1.39130759808376	7.50010715265667	6.37656856328313e-14	1.97956457131923e-12
"Sdpr"	30.2501733338583	10.3753905306039	1.92246721363438	5.39691416166701	6.77968028068248e-08	8.12400910209718e-07
"Gimap8"	81.6390836015843	10.3642988445271	1.32531564227631	7.82024939110036	5.27187872801303e-15	1.85758326439233e-13
"Serping1"	41.4123019654865	10.3531091666871	1.92318171011825	5.38332343335903	7.31229737874104e-08	8.72151472020562e-07
"Spic"	43.1353943535204	10.3474887418148	1.5282466370346	6.77082382585378	1.28051126805522e-11	2.92541728568461e-10
"Pkhd1l1"	24.4474191255823	10.3190280552306	1.91936565509833	5.3762700337065	7.60447169178446e-08	9.04896871020844e-07
"Cd55"	40.8657669162944	10.3016832462728	1.67935858605348	6.13429635089547	8.55369378326194e-10	1.47988513342323e-08
"Atp1b2"	30.7109085682121	10.2900012100457	1.74473098816082	5.89775803827082	3.68473765085594e-09	5.71951515603627e-08
"Marco"	32.6712821447634	10.2362314931585	1.62528276104176	6.29812346412716	3.01270513764727e-10	5.58911249511959e-09
"Emr4"	298.167773173268	10.236229228978	1.21295934957418	8.43905381707269	3.19916778725212e-17	1.46174437946908e-15
"Slc38a5"	29.1660083955835	10.2301278523922	1.89342754177404	5.40296770100172	6.55472661040583e-08	7.8789758272466e-07
"Slco2b1"	43.0581003638649	10.192980840469	1.30236380575253	7.82652343027857	5.01545874094605e-15	1.77944778094671e-13
"Myl9"	44.670238288958	10.1866956417292	1.31778193137184	7.73018311999813	1.07391990245403e-14	3.61842859036918e-13
"Sowaha"	31.6720315639802	10.1866531648281	3.74410772168612	2.72071583459693	0.00651407315548511	0.0229685592965788
"Ackr3"	25.7875151204272	10.1548426508057	1.745961483549	5.81618938704424	6.02042541864806e-09	8.86257271475553e-08
"Col14a1"	56.3803564355657	10.147247807234	1.27558020936398	7.95500567721537	1.79123294666505e-15	6.85454362496235e-14
"Nid1"	57.7715955197175	10.1033707014574	1.45877470277594	6.92592946822526	4.33122231153653e-12	1.06707457844863e-10
"Ctsf"	31.9950550672061	10.0685850644104	1.83953404669171	5.47344317030615	4.41374470708004e-08	5.45448162115717e-07
"Gimap4"	92.7554275007964	10.0581177499659	1.46977404904417	6.84330884499356	7.73845642774616e-12	1.82755754715392e-10
"Gpr116"	27.3816814513314	10.0479241748596	1.95603837233879	5.13687477554216	2.79344959074449e-07	2.97877678658475e-06
"Btnl10"	25.4903002699249	10.0409716469656	1.93106730793785	5.19970050017996	1.99609902348451e-07	2.17368689983129e-06
"Blk"	52.8578132408867	10.0339859528202	1.81326931611778	5.53364349334662	3.13646160793247e-08	4.01456657015329e-07
"Chst3"	44.8625788606549	10.0269646793178	1.91102331896961	5.2469085959266	1.54672586952377e-07	1.723334655494e-06
"Gja1"	38.0261407832635	10.0199160064479	1.52282459363044	6.57982281633647	4.7100921755117e-11	1.00590845101982e-09
"Kitl"	29.7451893444362	10.0199156278459	1.54685381994474	6.47760990641241	9.31868929290094e-11	1.90051891035879e-09
"Maf"	92.3204634511714	10.0114022444159	1.40455905506149	7.12779018321706	1.01993089048265e-12	2.74561116287619e-11
"Mrgpra2a"	97.7293329230162	10.0077447642525	1.55587714800564	6.43222042118216	1.25753196363524e-10	2.50174123721646e-09
"Fstl1"	55.4578375280161	10.0040780876171	1.62297578453794	6.16403410508387	7.0914658969899e-10	1.24084536229376e-08
"Slfn14"	50.1826428672294	10.0004016378413	1.63853660679849	6.10325188729283	1.03931853444955e-09	1.78211879659845e-08
